iter	Passed	Remaining
409	3905	5620
410	3913	5608
411	3919	5594
412	3926	5581
413	3933	5567
414	3940	5553
415	3946	5540
416	3954	5528
417	3961	5515
418	3968	5503
419	3975	5490
420	3983	5477
421	3990	5466
422	3998	5454
423	4005	5441
424	4012	5429
425	4019	5416
426	4026	5403
427	4033	5390
428	4042	5380
429	4051	5370
430	4061	5362
431	4071	5352
432	4085	5349
433	4102	5350
434	4110	5338
435	4117	5326
436	4128	5318
437	4135	5306
438	4143	5294
439	4150	5282
440	4158	5270
441	4165	5258
442	4172	5246
443	4180	5235
444	4188	5223
445	4196	5212
446	4205	5203
447	4213	5191
448	4219	5178
449	4227	5166
450	4234	5154
451	4241	5142
452	4247	5129
453	4254	5116
454	4261	5104
455	4269	5093
456	4276	5080
457	4283	5068
458	4290	5056
459	4297	5045
460	4304	5033
461	4312	5021
462	4319	5009
463	4326	4998
464	4333	4986
465	4340	4974
466	4347	4961
467	4354	4950
468	4364	4941
469	4372	4930
470	4381	4920
471	4389	4909
472	4398	4900
473	4405	4889
474	4415	4880
475	4426	4872
476	4434	4862
477	4443	4852
478	4451	4841
479	4461	4833
480	4474	4827
481	4488	4824
482	4499	4815
483	4509	4807
484	4519	4799
485	4531	4792
486	4539	4782
487	4549	4773
488	4558	4763
489	4568	4754
490	4575	4742
491	4583	4732
492	4590	4720
493	4598	4709
494	4606	4699
495	4613	4687
496	4621	4676
497	4628	4665
498	4648	4666
499	4657	4657
500	4676	4658
501	4686	4649
502	4695	4639
503	4703	4628
504	4709	4616
505	4716	4604
506	4722	4592
507	4729	4580
508	4736	4568
509	4742	4556
510	4749	4545
511	4756	4533
512	4763	4522
513	4770	4510
514	4778	4499
515	4785	4488
516	4792	4477
517	4801	4467
518	4809	4457
519	4817	4447
520	4825	4436
521	4833	4426
522	4841	4415
523	4848	4404
524	4856	4393
525	4864	4383
526	4873	4373
527	4880	4362
528	4888	4352
529	4898	4344
530	4905	4332
531	4912	4321
532	4920	4310
533	4927	4300
534	4935	4289
535	4942	4278
536	4949	4267
537	4955	4255
538	4962	4244
539	4968	4232
540	4975	4221
541	4981	4209
542	4988	4198
543	4995	4187
544	5003	4177
545	5011	4166
546	5017	4155
547	5024	4144
548	5031	4133
549	5037	4121
550	5044	4110
551	5050	4099
552	5057	4087
553	5063	4076
554	5071	4066
555	5078	4055
556	5085	4045
557	5093	4034
558	5100	4023
559	5107	4013
560	5114	4002
561	5121	3991
562	5128	3980
563	5135	3970
564	5142	3959
565	5149	3948
566	5156	3937
567	5162	3926
568	5169	3915
569	5176	3904
570	5183	3894
571	5190	3884
572	5197	3873
573	5204	3862
574	5212	3852
575	5219	3842
576	5227	3832
577	5235	3822
578	5242	3811
579	5248	3800
580	5256	3790
581	5263	3780
582	5271	3770
583	5279	3760
584	5291	3753
585	5302	3745
586	5309	3735
587	5320	3728
588	5329	3718
589	5338	3709
590	5350	3702
591	5358	3693
592	5367	3684
593	5377	3675
594	5461	3717
595	5473	3710
596	5484	3701
597	5509	3703
598	5520	3695
599	5531	3687
600	5574	3700
601	5611	3709
602	5620	3700
603	5706	3741
604	5716	3732
605	5726	3723
606	5736	3714
607	5771	3720
608	5782	3712
609	5792	3703
610	5814	3701
611	5824	3692
612	5834	3683
613	5861	3684
614	5886	3685
615	5897	3676
616	5944	3690
617	5955	3681
618	5965	3671
619	5973	3661
620	5982	3650
621	5990	3640
622	5997	3629
623	6005	3618
624	6015	3609
625	6026	3600
626	6035	3590
627	6043	3580
628	6050	3569
629	6057	3557
630	6067	3548
631	6075	3537
632	6082	3526
633	6091	3516
634	6100	3506
635	6108	3495
636	6124	3489
637	6136	3482
638	6151	3475
639	6169	3470
640	6186	3464
641	6195	3454
642	6205	3445
643	6214	3435
644	6224	3425
645	6240	3419
646	6253	3411
647	6266	3403
648	6277	3395
649	6324	3405
650	6336	3396
651	6351	3390
652	6362	3380
653	6374	3372
654	6387	3364
655	6396	3354
656	6408	3345
657	6424	3339
658	6435	3330
659	6447	3321
660	6458	3312
661	6480	3308
662	6490	3298
663	6499	3289
664	6510	3279
665	6518	3269
666	6529	3259
667	6545	3253
668	6577	3254
669	6595	3248
670	6613	3242
671	6628	3235
672	6646	3229
673	6668	3225
674	6678	3215
675	6689	3206
676	6703	3198
677	6721	3192
678	6731	3182
679	6746	3174
680	6756	3165
681	6767	3155
682	6777	3145
683	6789	3136
684	6800	3127
685	6812	3118
686	6835	3114
687	6848	3105
688	6880	3105
689	6894	3097
690	6906	3088
691	6916	3078
692	6926	3068
693	6937	3059
694	6947	3049
695	6957	3039
696	6967	3028
697	6977	3018
698	6990	3010
699	7001	3000
700	7016	2992
701	7039	2988
702	7049	2978
703	7059	2968
704	7069	2958
705	7112	2961
706	7122	2951
707	7153	2950
708	7183	2948
709	7193	2938
710	7203	2927
711	7216	2918
712	7228	2909
713	7238	2899
714	7255	2892
715	7267	2882
716	7275	2871
717	7286	2861
718	7294	2850
719	7302	2839
720	7311	2829
721	7327	2821
722	7335	2810
723	7348	2801
724	7360	2791
725	7376	2783
726	7387	2773
727	7406	2767
728	7416	2756
729	7427	2747
730	7442	2738
731	7457	2730
732	7474	2722
733	7483	2711
734	7492	2701
735	7500	2690
736	7510	2680
737	7531	2673
738	7542	2663
739	7552	2653
740	7562	2643
741	7572	2633
742	7583	2622
743	7599	2614
744	7609	2604
745	7627	2596
746	7637	2586
747	7647	2576
748	7657	2566
749	7667	2555
750	7680	2546
751	7691	2536
752	7700	2526
753	7710	2515
754	7721	2505
755	7731	2495
756	7741	2485
757	7752	2475
758	7760	2464
759	7770	2453
760	7794	2447
761	7813	2440
762	7830	2432
763	7843	2422
764	7852	2412
765	7861	2401
766	7870	2391
767	7884	2381
768	7894	2371
769	7903	2360
770	7914	2350
771	7928	2341
772	7946	2333
773	7955	2323
774	7964	2312
775	7975	2302
776	7983	2291
777	7997	2282
778	8007	2271
779	8028	2264
780	8039	2254
781	8050	2244
782	8065	2235
783	8078	2225
784	8086	2214
785	8099	2205
786	8108	2194
787	8118	2184
788	8137	2176
789	8147	2165
790	8156	2155
791	8165	2144
792	8176	2134
793	8193	2125
794	8202	2115
795	8231	2109
796	8240	2098
797	8250	2088
798	8259	2077
799	8269	2067
800	8277	2056
801	8288	2046
802	8298	2035
803	8308	2025
804	8316	2014
805	8326	2004
806	8335	1993
807	8344	1982
808	8353	1972
809	8362	1961
810	8371	1950
811	8382	1940
812	8391	1930
813	8400	1919
814	8408	1908
815	8418	1898
816	8426	1887
817	8436	1876
818	8444	1866
819	8454	1855
820	8465	1845
821	8474	1835
822	8481	1824
823	8489	1813
824	8496	1802
825	8505	1791
826	8513	1780
827	8522	1770
828	8530	1759
829	8538	1748
830	8546	1738
831	8553	1727
832	8560	1716
833	8568	1705
834	8575	1694
835	8583	1683
836	8589	1672
837	8596	1661
838	8604	1651
839	8612	1640
840	8619	1629
841	8627	1618
842	8634	1608
843	8642	1597
844	8649	1586
845	8657	1575
846	8665	1565
847	8674	1554
848	8680	1543
849	8687	1533
850	8695	1522
851	8714	1513
852	8726	1503
853	8734	1493
854	8742	1482
855	8749	1471
856	8757	1461
857	8764	1450
858	8771	1439
859	8778	1429
860	8785	1418
861	8793	1407
862	8801	1397
863	8808	1386
864	8815	1375
865	8822	1365
866	8828	1354
867	8835	1343
868	8843	1333
869	8850	1322
870	8857	1311
871	8864	1301
872	8872	1290
873	8879	1280
874	8886	1269
875	8892	1258
876	8900	1248
877	8907	1237
878	8914	1227
879	8921	1216
880	8928	1205
881	8934	1195
882	8941	1184
883	8949	1174
884	8957	1163
885	8965	1153
886	8973	1143
887	8981	1132
888	8994	1123
889	9003	1112
890	9014	1102
891	9025	1092
892	9033	1082
893	9042	1072
894	9049	1061
895	9056	1051
896	9062	1040
897	9069	1030
898	9078	1019
899	9086	1009
900	9095	999
901	9105	989
902	9112	978
903	9120	968
904	9128	958
905	9135	947
906	9141	937
907	9149	927
908	9157	916
909	9164	906
910	9172	896
911	9179	885
912	9186	875
913	9194	865
914	9206	855
915	9213	844
916	9221	834
917	9228	824
918	9235	814
919	9243	803
920	9250	793
921	9258	783
922	9265	772
923	9271	762
924	9278	752
925	9284	741
926	9291	731
927	9298	721
928	9304	711
929	9311	700
930	9318	690
931	9325	680
932	9332	670
933	9339	659
934	9346	649
935	9353	639
936	9362	629
937	9370	619
938	9382	609
939	9390	599
940	9399	589
941	9408	579
942	9416	569
943	9424	559
944	9431	548
945	9438	538
946	9445	528
947	9452	518
948	9460	508
949	9467	498
950	9475	488
951	9482	478
952	9490	468
953	9497	457
954	9504	447
955	9511	437
956	9518	427
957	9525	417
958	9532	407
959	9540	397
960	9547	387
961	9555	377
962	9561	367
963	9568	357
964	9575	347
965	9582	337
966	9589	327
967	9597	317
968	9604	307
969	9612	297
970	9620	287
971	9627	277
972	9634	267
973	9644	257
974	9653	247
975	9660	237
976	9667	227
977	9673	217
978	9681	207
979	9688	197
980	9696	187
981	9703	177
982	9710	167
983	9716	157
984	9723	148
985	9730	138
986	9737	128
987	9747	118
988	9758	108
989	9765	98
990	9774	88
991	9782	78
992	9791	69
993	9799	59
994	9808	49
995	9815	39
996	9823	29
997	9830	19
998	9839	9
999	9847	0
